date,realized_pnl,hs_var99,hs_es975,param_var99,param_es975,mc_var99,mc_es975,mc_df
2017-01-10,149753.39163233584,1246655.9617520925,1313453.4646066935,1168264.9140477022,1174254.0471988753,1266328.6944220515,1295507.3636332767,8.826831680368258
2017-01-11,387132.6389549423,1184089.067921314,1295320.497551104,1147632.2050342292,1153547.2465262583,1196268.862276593,1233965.4616447776,8.589631395161135
2017-01-12,-63886.4281465536,1184089.067921314,1295320.497551104,1147016.7551187978,1152925.3929204077,1250366.2215279182,1290136.8177994695,8.538386825344435
2017-01-13,49154.20536151439,1184089.067921314,1288221.6053073662,1129726.89255748,1135571.673540408,1270643.0133910717,1250162.8505749458,8.295783065249847
2017-01-17,302708.72957579413,1184089.067921314,1288221.6053073662,1130022.7353974164,1135867.2246998083,1274687.788142427,1273058.8033742728,8.294418431027536
2017-01-18,-397495.114709006,1184089.067921314,1288221.6053073662,1127881.7855197757,1133725.789747434,1249512.0355013742,1261203.0063882752,8.282371234561358
2017-01-19,-336439.1214026663,1184089.067921314,1288221.6053073662,1131660.4031813715,1137513.7448427964,1215636.9630381982,1265029.5576120813,8.36915261888268
2017-01-20,159682.7551847185,1184089.067921314,1288221.6053073662,1124332.8494399863,1130116.874593328,1184309.5838998565,1234577.6772300021,8.276476578885504
2017-01-23,430288.5773401118,1184089.067921314,1288221.6053073662,1116818.2887930966,1122581.0465241189,1182925.678653878,1250324.5142434153,8.112256323488005
2017-01-24,148507.22276679214,1184089.067921314,1288221.6053073662,1113193.8642836302,1118929.2805122163,1195365.632065528,1248222.686983053,7.979508338697928
2017-01-25,128624.64743267861,1184089.067921314,1288221.6053073662,1102318.9138903872,1108019.8040830125,1154314.6712525608,1213216.2570032233,7.781047658323759
2017-01-26,-109015.57259909804,1184089.067921314,1288221.6053073662,1102125.8396281446,1107819.1052178843,1255118.1753690692,1328462.8270659193,7.733163578637546
2017-01-27,119540.50803765438,1184089.067921314,1288221.6053073662,1083082.6802059484,1088646.0823353939,1212017.3105022684,1195654.449190907,8.088629258540706
2017-01-30,-408625.81368137954,1184089.067921314,1288221.6053073662,1082747.8015088993,1088311.4289472918,1190934.297425145,1197587.0825129312,8.08760516308715
2017-01-31,355933.57475281664,1184089.067921314,1288221.6053073662,1075277.5260188256,1080813.0071417054,1181970.3812515938,1218872.3329640594,7.946824911792829
2017-02-01,-45736.18283346745,1184089.067921314,1288221.6053073662,1075341.1557964296,1080877.768115955,1165577.9840055013,1184513.2466140357,7.954453135895038
2017-02-02,117558.31726119545,1184089.067921314,1288221.6053073662,1075945.4113953218,1081475.7848797708,1154862.4579063724,1175263.2518165032,7.919042398488539
2017-02-03,351539.73261460575,1184089.067921314,1273907.5466833967,1057312.5673816185,1062775.8664298297,1181922.646983722,1220141.7404181606,7.708275441757281
2017-02-06,298558.95292701013,1184089.067921314,1273907.5466833967,1056007.0878972334,1061473.239624461,1150152.8533113352,1175218.8637314106,7.717456335135101
2017-02-07,176210.95622441263,1184089.067921314,1273907.5466833967,1053897.7277459987,1059363.4392050484,1159597.7918570423,1201243.8357340125,7.701309634603994
2017-02-08,564289.5695805814,1184089.067921314,1273907.5466833967,1053692.4868348055,1059152.2493346108,1095531.293141978,1120722.6754970797,7.665448170221844
2017-02-09,-109637.65530560951,1184089.067921314,1273907.5466833967,1054527.1157861885,1059998.6528587765,1160900.055921218,1172925.6742053153,7.734450302131528
2017-02-10,301295.28744687396,1184089.067921314,1273907.5466833967,1054859.9915130837,1060319.5954699216,1170979.1666195767,1204488.9880041913,7.673129798016143
2017-02-13,125724.87291000363,1184089.067921314,1273907.5466833967,1054553.8845614498,1060009.256661425,1187851.2478846386,1224158.5735493775,7.647625259034557
2017-02-14,32438.771065691464,1184089.067921314,1273907.5466833967,1048207.1015978084,1053612.6776330252,1182518.0584052552,1239660.4768757368,7.486607950413889
2017-02-15,305789.15442317585,1184089.067921314,1273907.5466833967,1048680.620978194,1054084.15727167,1159609.802303553,1179478.8685797483,7.477818579163223
2017-02-16,148497.39330277703,1184089.067921314,1273907.5466833967,1047683.7466463043,1053089.7849359645,1083486.2662555778,1159006.452234959,7.485738355446467
2017-02-17,189182.979804853,1184089.067921314,1273907.5466833967,1045640.8211964543,1051025.623224404,1071017.2735223714,1109018.9700795962,7.384165205741513
2017-02-21,350535.7237447002,1184089.067921314,1273907.5466833967,1038401.448726365,1043766.2366709259,1214291.0059724238,1195306.2803914403,7.262270212412696
2017-02-22,73862.32551766497,1184089.067921314,1273907.5466833967,1038471.259972419,1043837.3028245434,1120520.7173774347,1170336.6965495038,7.268686741809694
2017-02-23,152784.25318441467,1184089.067921314,1273907.5466833967,1036585.0680378362,1041929.1159481332,1146695.9104563934,1170169.407912749,7.173956247832654
2017-02-24,329261.1938594361,1184089.067921314,1273907.5466833967,1030439.6355773553,1035767.0532765151,1122885.3061704643,1167052.0512568648,7.076320906356011
2017-02-27,-180677.263366051,1184089.067921314,1273907.5466833967,1029722.492243132,1035053.3951817597,1160362.4799933594,1168783.480736069,7.088484998388216
2017-02-28,-133004.66706297064,1184089.067921314,1273907.5466833967,1023841.6768982098,1029117.9186402011,1101248.9104833025,1144367.6388521139,6.980533995378441
2017-03-01,344512.654977012,1184089.067921314,1273907.5466833967,1024646.8826940265,1029914.7530835918,1102773.5614203415,1130943.5851794188,6.9521553866621515
2017-03-02,-745796.1257010115,1184089.067921314,1273907.5466833967,1023850.0637679915,1029110.163179189,1120557.4734318177,1174964.4916489737,6.920137161202291
2017-03-03,187844.58145060076,1184089.067921314,1273907.5466833967,1033552.4507745641,1038843.3214552565,1163882.6461960636,1186829.8747897423,7.060739019505414
2017-03-06,-349403.06220608565,1184089.067921314,1273907.5466833967,1032744.9356071522,1038036.4754890857,1121574.1869992516,1164588.5820721854,7.059438094775697
2017-03-07,-310151.4106710399,1184089.067921314,1273907.5466833967,1031260.7424115087,1036547.2105518241,1126358.8670533919,1184990.1384913595,7.033175273557126
2017-03-08,-344138.08341775,1184089.067921314,1273907.5466833967,1033992.0572531763,1039284.6709782038,1189655.2436005976,1202508.434419883,7.075010096360469
2017-03-09,-303618.62409559253,1184089.067921314,1273907.5466833967,1037327.250040078,1042626.6505714221,1133973.2655543017,1184073.0263077964,7.123129331045915
2017-03-10,420243.97570838936,1184089.067921314,1273907.5466833967,1039440.9291346484,1044734.5138346229,1103518.5003273443,1142360.901736908,7.111518138717974
2017-03-13,31415.510407388643,1184089.067921314,1273907.5466833967,1038037.3291226521,1043335.8554038777,1162849.3530481944,1176137.7772350346,7.125715811167361
2017-03-14,-182355.06493818914,1184089.067921314,1273907.5466833967,1036832.3277583156,1042128.7937320832,1196277.5858464118,1237391.0623335952,7.1092710330577145
2017-03-15,1220029.4616724635,1184089.067921314,1273907.5466833967,1033332.6597416381,1038589.5184521151,1125641.0131158223,1135372.1783908736,7.000040430841061
2017-03-16,-76934.51527244547,1184089.067921314,1273907.5466833967,1042740.9509355865,1048059.4531707381,1124407.056704094,1138500.5357221374,7.076527124861668
2017-03-17,112351.48174537401,1184089.067921314,1273907.5466833967,1043718.4978001408,1049036.100895744,1128693.4785690575,1167032.395640121,7.076731488424759
2017-03-20,274868.4112187012,1184089.067921314,1273907.5466833967,1042321.7120389936,1047637.7401600631,1166696.8149716747,1162799.0719592,7.062729906153843
2017-03-21,-466457.5677287345,1184089.067921314,1273907.5466833967,1042022.1567548194,1047340.9475010808,1123205.5425456285,1161249.4010192875,7.074425935639244
2017-03-22,389950.2597094885,1184089.067921314,1273907.5466833967,1039989.1331486168,1045300.4987826564,1104636.641481779,1129825.4099216154,7.042140588622775
2017-03-23,-135525.27360334567,1184089.067921314,1273907.5466833967,1039337.243700365,1044654.223368351,1103948.853247496,1181913.0968817112,7.064239676645679
2017-03-24,157806.31898730138,1184089.067921314,1273907.5466833967,1040524.947960326,1045843.3297466667,1186631.4710129208,1203423.837417353,7.076652806857247
2017-03-27,171460.9460606555,1184089.067921314,1273907.5466833967,1029778.6912363556,1035022.303258911,1169709.6703511758,1162457.9612121335,6.980293569824733
2017-03-28,138158.31648303912,1184089.067921314,1273907.5466833967,1028370.0423012552,1033612.944111,1109858.146395945,1107568.341271961,6.96954872514951
